Ala,,charge,,疏水尺度,ring,hydrophobic,positive,negative,neutral,acceptor,donor,aromatic,sulphur,polar,sum
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.528,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB3,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,1,0,0,10,1,1,0,0,3,
Arg,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD,0,P,-0.137,0,0,0,0,1,0,0,0,0,1,1
ATOM,HD1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HD2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,NE,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,HE,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,CZ,0,P,0.005,0,0,0,0,1,0,0,0,0,1,1
ATOM,NH1,0.5,D,-0.646,0,0,1,0,0,0,1,0,0,0,2
ATOM,HH11,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,HH12,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,NH2,0.5,D,-0.646,0,0,1,0,0,0,1,0,0,0,2
ATOM,HH21,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,HH22,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
,,,,,,2,2,0,22,1,4,0,0,,
Asn,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,-0.008,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,OD1,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,ND2,0,D,-0.646,0,0,0,0,1,0,1,0,0,0,2
ATOM,HD21,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,HD22,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
,,,,,,1,0,0,14,2,2,0,0,,
Asp,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,-0.008,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,OD1,-0.5,A,-0.88,0,0,0,1,0,1,0,0,0,0,2
ATOM,OD2,-0.5,A,-0.88,0,0,0,1,0,1,0,0,0,0,2
,,,,,,1,0,2,10,3,1,0,0,,
Cys,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,SG,0,H,0.419,0,1,0,0,1,0,0,0,1,0,3
ATOM,HG,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,2,0,0,11,1,1,0,1,,
Gln,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,-0.008,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,OE1,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,NE2,0,D,-0.646,0,0,0,0,1,0,1,0,0,0,2
ATOM,HE21,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,HE22,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
,,,,,,2,0,0,17,2,2,0,0,,
Glu,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,-0.008,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,OE1,-0.5,A,-0.88,0,0,0,1,0,1,0,0,0,0,2
ATOM,OE2,-0.5,A,-0.88,0,0,0,1,0,1,0,0,0,0,2
,,,,,,2,0,2,13,3,1,0,0,,
Gly,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.303,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HA2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,0,0,0,7,1,1,0,0,,
His,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,-0.008,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,P,-0.027,2,0,0,0,1,0,0,1,0,1,2
ATOM,ND1,0.5,DA,0.135,2,0,1,0,0,1,1,1,0,0,4
ATOM,HD1,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,CD2,0,P,-0.31,2,0,0,0,1,0,0,1,0,1,2
ATOM,HD2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CE1,0,P,-0.31,2,0,0,0,1,0,0,1,0,1,2
ATOM,HE1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,NE2,0.5,DA,0.135,2,0,1,0,0,1,1,1,0,0,4
ATOM,HE2,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
,,,,,,1,2,0,16,3,3,5,0,,
Ile,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.127,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG2,0,H,0.528,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG21,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG22,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG23,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG1,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG11,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG12,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD1,0,H,0.528,0,1,0,0,1,0,0,0,0,0,2
ATOM,HD11,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HD12,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HD13,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,4,0,0,19,1,1,0,0,,
Leu,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,0.127,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD1,0,H,0.528,0,1,0,0,1,0,0,0,0,0,2
ATOM,HD11,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HD12,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HD13,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD2,0,H,0.528,0,1,0,0,1,0,0,0,0,0,2
ATOM,HD21,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HD22,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HD23,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,4,0,0,19,1,1,0,0,,
Lys,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HD1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HD2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CE,0,P,-0.137,0,0,0,0,1,0,0,0,0,1,1
ATOM,HE1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HE2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,NZ,1,D,-1.2,0,0,1,0,0,0,1,0,0,0,2
ATOM,HZ1,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,HZ2,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,HZ3,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
,,,,,,3,1,0,21,1,2,0,0,,
Met,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,0.358,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,SD,0,H,0.255,0,1,0,0,1,0,0,0,1,0,3
ATOM,CE,0,H,0.528,0,1,0,0,1,0,0,0,0,0,2
ATOM,HE1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HE2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HE3,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,4,0,0,17,1,1,0,1,,
Phe,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,-0.008,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,0.296,2,1,0,0,1,0,0,1,0,0,3
ATOM,CD1,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HD1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD2,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HD2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CE1,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HE1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CE2,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HE2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CZ,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HZ,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,7,0,0,20,1,1,6,0,,
Pro,,,,,,,,,,,,,,,
ATOM,N,0,P,0.078,1,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CD,0,P,-0.137,1,0,0,0,1,0,0,0,0,1,1
ATOM,HD1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HD2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CA,0,P,-0.305,1,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.358,1,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,0.358,1,1,0,0,1,0,0,0,0,0,2
ATOM,HG1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,2,0,0,14,1,0,0,0,,
Ser,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,P,-0.137,0,0,0,0,1,0,0,0,0,1,1
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,OG,0,DA,-0.467,0,0,0,0,1,1,1,0,0,0,3
ATOM,HG,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
,,,,,,0,0,0,11,2,2,0,0,,
Thr,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,P,-0.205,0,0,0,0,1,0,0,0,0,1,1
ATOM,HB,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,OG1,0,DA,-0.467,0,0,0,0,1,1,1,0,0,0,3
ATOM,HG1,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,CG2,0,H,0.528,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG21,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG22,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG23,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,1,0,0,14,2,2,0,0,,
Trp,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,-0.008,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,0.013,2,1,0,0,1,0,0,1,0,0,3
ATOM,CD2,0,H,0.296,2,1,0,0,1,0,0,1,0,0,3
ATOM,CE2,0,P,-0.151,2,0,0,0,1,0,0,1,0,1,2
ATOM,CE3,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HE3,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD1,0,P,-0.31,2,0,0,0,1,0,0,1,0,1,2
ATOM,HD1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,NE1,0,D,0.545,2,0,0,0,1,0,1,1,0,0,3
ATOM,HE1,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,CZ2,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HZ2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CZ3,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HZ3,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CH2,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HH2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,7,0,0,24,1,2,9,0,,
Tyr,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,-0.008,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HB2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG,0,H,0.296,2,1,0,0,1,0,0,1,0,0,3
ATOM,CD1,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HD1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CD2,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HD2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CE1,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HE1,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CE2,0,H,0.337,2,1,0,0,1,0,0,1,0,0,3
ATOM,HE2,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CZ,0,P,-0.151,2,0,0,0,1,0,0,1,0,1,2
ATOM,OH,0,DA,0.082,0,0,0,0,1,1,1,0,0,0,3
ATOM,HH,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
,,,,,,6,0,0,21,2,2,6,0,,
Val,,,,,,,,,,,,,,,
ATOM,N,0,D,-0.096,0,0,0,0,1,0,1,0,0,0,2
ATOM,H,0,DH,0,0,0,0,0,1,0,0,0,0,1,1
ATOM,C,0,P,-0.03,0,0,0,0,1,0,0,0,0,1,1
ATOM,O,0,A,-0.399,0,0,0,0,1,1,0,0,0,0,2
ATOM,CA,0,P,-0.305,0,0,0,0,1,0,0,0,0,1,1
ATOM,HA,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CB,0,H,0.127,0,1,0,0,1,0,0,0,0,0,2
ATOM,HB,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG1,0,H,0.528,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG11,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG12,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG13,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,CG2,0,H,0.528,0,1,0,0,1,0,0,0,0,0,2
ATOM,HG21,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG22,0,N,0,0,0,0,0,1,0,0,0,0,0,1
ATOM,HG23,0,N,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,3,0,0,16,1,1,0,0,,
